company_name,url,ideal_talent_profile,core_values,detailed_description
GSE&C,https://gsenc.recruiter.co.kr/career/talented,적극적으로 소통하고 실천하며 스스로 성장하는 Professional,"프로 직업정신, 직접 실천, 적극적 소통","1. 자신의 분야에서 최고의 전문가가 되겠다는 능동적 자신감을 보유한 인재: 한 단계 더 나아갈 수 있는 결과물을 내기 위해 고민하며, 그 과정을 통해 누구나 인정하는 전문가로 성장해 나갑니다. (프로 직업정신)
2. 말 보다는 행동을 통해 직접 부딪혀가며 성과를 만들어가는 인재 : 아이디어를 내고 토론하는 것에서 그치지 않고, 집중력과 끈기를 가지고 때로는 집요하게 자신의 업무를 직접 실행합니다. (직접 실천)
3. 소신 있게 자신의 의견을 개진하며 동료와 주도적으로 소통하는 인재: 고민의 결과를 주저하지 않고 자신감 있게 동료들과 공유하며, 나와 다른 의견을 주의 깊게 경청하고 발전적으로 수용합니다. (적극적 소통)"
GS에너지,https://www.gsenergy.co.kr/recruitment/gs_energy_talent.php,늘 도전하며 개방적으로 협업하는 One Team이 되어 혁신을 만드는 인재,"Agile, Open & Challenge, One Team","GS에너지는 변화를 두려워하지 않고 다양한 시도와 검증을 추진하는 **Agile** 인재, 아직 시도되지 않은 영역에도 자발적으로 뛰어드는 **Open & Challenge** 인재, 혁신과 성장을 위해 기꺼이 협업하고 시너지를 창출하는 **One Team** 인재를 지향합니다."
GS리테일,https://gsretail.recruiter.co.kr/career/talent,"GS Value와 Way를 실천하며, 고객 중심·창의·협업·신속 실행을 주도하는 인재","Fair, Friendly, Fresh, Fun; 고객최우선, 트렌드선도, 최고지향, 데이터결정, 신속실행, 소통협업, 비효율개선, 본질준수","GS리테일은 공정함과 배려, 창의와 즐거움을 실천하며 고객을 우선시하는 태도를 가진 인재, 트렌드를 주도하고 최고 수준을 향해 목표를 설정하는 인재, 데이터 기반 의사결정과 빠른 실행력, 협업과 소통으로 조직 시너지를 창출하고 비효율을 개선하며 본질에 충실한 자세로 일하는 인재를 지향합니다."
메리츠금융그룹,https://www.meritzgroup.com/web/ko/esg/esg4_3.do,"극단적 합리주의와 실용주의, 공정·신속·성과 중심의 문화 속에서 창의와 책임으로 소통하는 인재","극단적 합리주의, 실용주의, 성과주의, 공정성, 윤리의식, 신속의사결정","메리츠금융그룹은 철저히 데이터 기반의 극단적 합리주의와 실용주의를 바탕으로, 형식보다는 결과를, 공정하고 윤리적으로 업무를 수행하며, 빠른 의사결정과 집중을 통해 성과를 높이는 인재를 지향합니다. 또한, 회사 비전과 가치를 공유하고 책임과 봉사 정신을 실천하며 창의적 사고로 조직에 기여하는 태도를 중요하게 여깁니다."
CJ씨푸드,https://www.cjseafood.net/recruit/person.php,"오픈 커뮤니케이션을 통해 창의성과 유연함을 발휘하며, 팀워크로 강한 인재로 성장하는 인재","소통, 창의, 유연성, 팀워크, 강유인재","CJ씨푸드는 열린 커뮤니케이션으로 서로의 아이디어를 존중하고 유연한 사고를 촉진하며, 끈끈한 팀워크 아래 함께 배우고 발전하는 문화를 통해 강인하고 우리다운(Synergy-Driven) 인재를 키워갑니다."
CJ대한통운,https://www.cjlogistics.com/ko/page/sustainability/social_employees,"직무 전문성과 열정, 책임감을 갖춘 ONLY ONE 인재","직무 전문성, 열정, 책임감, 유일성 (Only ONE)","CJ대한통운은 자신의 업무에서 뛰어난 전문성을 바탕으로 열정과 의지를 가지고 책임 있게 실천하며, ‘Only ONE’적인 성과를 창출할 수 있는 최고 인재를 지향합니다."
한국가스공사,https://www.kogas.or.kr/site/koGas/1010802010000,"주인의식과 책임, 전문성 기반 혁신, 소통과 협력, 그리고 도전과 실행을 실천하는 인재","책임실천, 혁신전문, 소통협력, 도전실행","KOGAS는 주인의식을 갖고 안전 우선의 ESG 가치를 온전히 실천하는 책임실천인, 최고의 전문성을 기반으로 빠르게 변화하는 환경에 혁신을 이끌며 미래성장을 선도하는 혁신전문인, 상호 신뢰에 기반해 적극적으로 소통하고 협업하여 공동 목표를 달성하는 소통협력인, 열린 사고로 새로운 가능성에 과감히 도전하고 반드시 실행하여 목표를 성취하는 도전실행인을 지향합니다."
쿠팡,https://www.coupang.jobs/kr/why-coupang/,"미래 커머스를 혁신하고 고객 감동을 실현하며, 스타트업 정신과 리더십을 가진 인재","Customer Obsession, Ownership, Innovation, Agility, High Standards, Collaboration","쿠팡은 고객을 내리는 모든 결정의 시작과 끝으로 삼고(Customer Obsession), 오너처럼 회사를 책임지며(Ownership), 끊임없이 도전하고 혁신하는 문화를 장려합니다(Innovation). 우리는 스타트업처럼 기민하게 움직이며 변화에 빠르게 대응하고(Agility), 항상 최고 수준을 추구하며(High Standards), 팀 간 협력을 통해 더 큰 시너지를 만들어냅니다(Collaboration)."
S-oil,https://www.s-oil.com/company/recruit/RightPerson.aspx,"적극적으로 비전을 실현하며, 글로벌 감각과 자율적 팀워크, 윤리성을 갖춘 인재","진취성, 글로벌감각, 자율·협업, 윤리·책임","S-OIL은 아시아·태평양 시장에서의 비전을 함께 실현할 진취적인 사고를 가진 인재, 국제적 감각과 섬세한 매너·어학능력을 갖춘 글로벌 인재, 자기관리와 자율성을 바탕으로 팀워크를 강조하며 열정적으로 목표에 임하는 인재, 건강한 가치관과 윤리의식으로 조직 내외의 관계를 존중하고 회사의 명예를 높이는 인재를 지향합니다."
중소기업은행,https://www.ibksystem.co.kr/rc/talent,"자기혁신, 전문성, 책임과 협력을 바탕으로 최고의 조직을 만들어가는 창조형 인재","창조인, 전문인, 조직인","IBK시스템은 끊임없이 변화를 추구하며 현실에 안주하지 않는 ‘창조인’, 자기 분야에서 일인자가 되기 위해 열정과 노력을 지속하는 ‘전문인’, 솔선수범하며 맡은 역할에 책임감을 갖고 팀워크로 조직의 성과를 이끄는 ‘조직인’을 지향합니다."
신세계,https://www.shinsegaegroupnewsroom.com/20441/,"고객을 존중하고, 감각과 창의로 스스로 최고로 도전하며, 자부심으로 일하는 인재","고객중심, 창의적 감각, 도전정신, 자부심과 소명","신세계백화점은 고객을 존중하고 행복을 위해 헌신하는 인재, 앞선 감각과 창의력으로 변화를 주도하는 인재, 자신의 일에 긍지를 갖고 열정을 쏟아 탁월한 성과를 내는 인재를 지향합니다."
신세계인터내셔날,https://www.shinsegaegroupnewsroom.com/20525/,"패션에 대한 열정과 전문성, 프라이드를 품고 도전하는 인재","Passion, Professionalism, Pride","신세계인터내셔날은 패션에 대한 뜨거운 열정을 바탕으로 매 순간 최선을 다하며(Passion), 국제적 역량을 갖춘 분야 최고 수준의 전문성을 발휘하는 인재(Professional), 그리고 Trend를 선도하는 기업의 일원으로서 자부심과 책임감을 지닌 인재(Pride)를 지향합니다."
신세계건설,https://www.shinsegaegroupnewsroom.com/24213/,"전문성과 윤리, 도전 정신으로 건설문화를 선도하는 인재","기술인 (전문성), 윤리인 (도덕성), 도전인 (혁신과 변화)","신세계건설은 분야별 최고 수준의 노하우로 품질과 서비스를 창출하는 기술인, 윤리와 원칙에 근거해 정직하고 책임감 있게 행동하는 윤리인, 그리고 창의와 도전 정신으로 끊임없이 변화하며 비전을 실현하는 도전인을 지향합니다."
신세계푸드,https://www.shinsegaegroupnewsroom.com/22264/,"자부심과 도전으로 책임감 있게 실천하며, 윤리와 소통으로 조화를 이루는 참다운 인재","Pride (자부심·애사심), Passion (집념·도전), Trust (윤리·도덕), Fun (팀워크·소통)","신세계푸드는 회사와 업무에 긍지와 주인의식을 갖고 끈기 있게 성과를 창출하는 인재(Pride), 어려운 환경에서도 포기하지 않고 창의와 열정을 발휘하며 변화에 유연하게 대응하는 인재(Passion), 기본과 원칙에 충실하고 도덕적 책임을 다하는 인재(Trust), 다양성과 배려를 기반으로 건전한 조직문화를 이끌며 협업하는 인재(Fun)를 지향합니다."
신세계아이앤씨,https://www.shinsegaegroupnewsroom.com/24337/,"고객 행복과 편의를 위한 도전과 혁신, 실력주의와 즐거움, 협업을 실천하는 인재","Challenge, Innovation, Meritocracy, Fun, Collaboration","신세계아이앤씨는 고객의 행복과 편의를 위해 새로운 IT 기술에 도전하고 역경을 극복하는 'Challenge' 인재를 지향합니다. 고객 가치 향상을 위해 창의적 혁신을 끊임없이 추구하는 'Innovation' 인재, 자신의 역량을 발휘해 최상의 성과를 내는 'Meritocracy' 인재, 즐거운 일터 문화를 만들어 함께 성장하는 'Fun' 인재, 그리고 회사 비전을 공유하며 배려와 경청으로 존중하는 'Collaboration' 인재가 되길 바랍니다."
조선호텔앤리조트,https://www.shinsegaegroupnewsroom.com/24233/,"정중함과 공감을 바탕으로 고객을 섬기며, 기회를 준비하고 지역사회와 성장하며, 차별화된 가치와 혁신으로 새로운 리더가 되는 인재","Courteous, Helpful, Opportunity-Focused, Community-Supportive, Innovatively Unique","조선호텔앤리조트는 모든 고객에게 정중하게 다가가며 친화적인 태도로 응대하는 '정중형 인재', 고객의 다양한 니즈를 세심히 파악해 도움을 제공하는 '배려형 인재', 장기적 도약을 위한 전략적 준비를 아끼지 않는 '기회 준비형 인재', 지역사회와 함께 성장하며 협력하는 '상생형 인재', 그리고 남다른 전문성과 매력을 바탕으로 ‘새로운 성장’의 방향을 제시하는 혁신형 리더 인재를 지향합니다."
SCK컴퍼니,https://www.shinsegaegroupnewsroom.com/24231/,"고객 중심, 성장 지향, 목표 완수, 글로벌 사고, 긍정 에너지로 일하는 인재","고객중심, 성장가능성, 목표달성, 글로벌 마인드, 긍정적 적극성","SCK컴퍼니는 고객의 입장에서 존중하고 가치를 제공하기 위해 노력하는 인재(고객중심), 끊임없이 학습하며 혁신을 주도하는 인재(성장가능성), 현실에 안주하지 않고 열정과 창의로 최고의 성과를 이루는 인재(목표달성), 국제감각과 개방적 자세로 글로벌 시장을 주도하는 인재(글로벌 마인드), 자부심을 갖고 즐겁게 일하며 열린 마음으로 소통하는 인재(긍정적 적극성)를 지향합니다."
신세계사이먼,https://www.shinsegaegroupnewsroom.com/24247/,"정직과 섬김으로 고객을 감동시키고, 감각과 창의로 변화를 주도하며, 자부심과 열정을 바탕으로 최고를 실현하는 인재","고객중심, 창의성, 자부심","신세계사이먼은 고객을 존중하고 행복을 위해 헌신하는 ‘고객중심’ 인재, 새로운 트렌드를 감각적으로 읽고 창의적인 변화를 주도하는 ‘창의성’ 인재, 자신의 일에 자부심을 갖고 변화를 이끌며 지속적인 자기계발로 최고의 경쟁력을 실현하는 ‘자부심’ 인재를 지향합니다."
신세계엘앤비,https://www.shinsegaegroupnewsroom.com/24251/,"고객에게 헌신하고 예의바르게 행동하며, 감각과 창의로 변화를 주도하고, 일에 자부심과 열정을 쏟는 인재","Customer-oriented, Polite & Sincere, Creative Trendsetter, Pride-driven","신세계엘앤비는 고객을 진심으로 존중하며 헌신하고, 정직함과 예의를 바탕으로 행동하는 인재를 지향합니다. 또한 변화에 민감한 감각과 창의적인 사고로 새로운 트렌드를 주도하는 인재, 자신의 업무에 자부심을 갖고 열정적으로 성장하며 조직을 이끄는 인재로서의 자세를 중요하게 여깁니다."
이마트에브리데이,https://www.shinsegaegroupnewsroom.com/24374/,"고객을 위한 주인의식과 브랜드 가치를 향한 열정, 창의적인 사고로 일상을 변화시키는 인재","Ownership for Customer, Passion for Brand, Creative Thinking for Design","이마트에브리데이는 고객의 입장에서 최선을 다해 책임지는 주인의식을 가진 인재, 브랜드를 사랑하고 변화와 향상에 열정을 쏟는 인재, 열린 사고와 창의적인 시각으로 고객의 라이프스타일을 새롭게 디자인하는 인재를 지향합니다."
이마트24,https://www.shinsegaegroupnewsroom.com/24374/,"고객 중심의 주인의식과 브랜드에 대한 열정, 창의적 사고로 고객의 라이프스타일을 디자인하는 인재","Ownership for Customer, Passion for Brand, Creative Thinking for Design","이마트24는 고객을 최우선으로 생각하며 주인의식을 갖고 행동하는 인재(Ownership for Customer), 도전을 두려워하지 않고 브랜드에 대한 열정을 통해 고객이 다시 찾게 만드는 인재(Passion for Brand), 열린 마음과 창의적인 사고로 고객의 일상을 새롭게 디자인하는 인재(Creative Thinking for Design)를 지향합니다."
신세계프라퍼티,https://www.shinsegaegroupnewsroom.com/24471/,"도전과 창의, 긍정의 즐거움과 인재존중으로 미래를 함께 만드는 인재","Challenge, Creativity, Cheer, Consideration","신세계프라퍼티는 현실에 안주하지 않고 한계를 뛰어넘는 도전형 인재(Challenge), 목적을 분명히 하고 제약 없이 자유로이 사고하는 창의형 인재(Creativity), 불평 없이 일상 속에서 의미와 보람을 찾는 긍정형 인재(Cheer), 동료를 최고의 인재로 존중하며 상호 배려하는 인재(Consideration)를 지향합니다."
신세계디에프,https://www.shinsegaegroupnewsroom.com/24381/,"고객을 존중하며 다양한 문화 경험을 제공하고, 환경변화에 민첩하게 대응하는 인재","고객존중, 문화탐구, 민첩 대응","신세계디에프는 고객을 중심에 두고 행복을 위해 헌신하는 인재를 지향합니다. 또한 여행과 문화를 끊임없이 탐구하며 고객에게 다양한 경험을 선사하는 인재, 환경변화에 유연하게 대응하고 지속가능한 미래를 준비하는 인재가 되기를 바랍니다."
신세계라이브쇼핑,https://www.shinsegaegroupnewsroom.com/24423/,"고객을 중심에 두고, 감각으로 변화하고, 자부심으로 일하는 인재","Customer, Fashion, Pride","신세계라이브쇼핑은 고객을 존중하고 행복을 위해 헌신하는 'Customer' 인재, 세련된 감각과 열린 태도로 창의적인 변화를 주도하는 'Fashion' 인재, 자신의 일에 자부심을 갖고 비전을 공유하며 열정적으로 행동하는 'Pride' 인재를 지향합니다."
신세계까사,https://www.shinsegaegroupnewsroom.com/24491/,"전문성과 안목, 건강한 에너지와 창의, 열정적 실행, 시스템 사고를 통한 변화를 이끄는 인재","전문인, 창조인, 열정인, 혁신인","신세계까사는 자기 분야에 대한 깊은 이해와 합리적 안목을 가진 ‘전문인’, 건강하고 에너제틱한 방식으로 창의를 실현하는 ‘창조인’, 끈기와 열정으로 끝까지 소임을 다하는 ‘열정인’, 시스템적 사고와 온라인 감각으로 혁신을 주도하는 ‘혁신인’을 지향합니다."
SSG.COM,https://www.shinsegaegroupnewsroom.com/24525/,"고객을 최우선으로 생각하고, 브랜드에 대한 열정과 창의적 사고로 일상을 디자인하는 인재","Ownership for Customer, Passion for Brand, Creative Thinking for Design","Ownership for Customer, Passion for Brand, Creative Thinking for Design"",""SSG.COM은 고객을 중심에 두고 주인의식을 발휘하는 인재를 지향합니다. 또한 브랜드 가치를 높이기 위한 열정을 갖고, 열린 사고로 고객의 라이프스타일을 창의적으로 디자인하는 인재를 원합니다."
WCONCEPT,https://career.wconcept.co.kr/ko/home,"새로운 관점으로 끊임없이 도전하며, 남다른 컨셉으로 균형을 제시하고, 이해와 공감을 기반으로 소통하는 인재","도전, 컨셉 제시, 공감 소통","W컨셉은 변화에 도전하고 새로운 시도를 멈추지 않는 인재, 고객의 고유한 가치를 고려해 스타일과 균형을 제안하는 인재, 입점 브랜드와 고객 사이의 가교 역할을 하며 진정성 있게 소통하는 인재를 원합니다."
KT,https://www.ktnetcore.com/html/recruit/vision.html,사명감에 기반한 전문성과 혁신 마인드로 협업을 통해 회사와 함께 성장하는 인재,"사명감, 전문성, 혁신 마인드, 팀워크","KT NetCore는 국가 기간통신망이라는 중요한 시스템을 책임지는 사명감을 바탕으로, 안정성과 원칙을 준수하는 '사명감 있는 인재', 네트워크 기술에 대한 깊은 이해와 끊임없는 자기 계발로 최고의 역량을 갖춘 '전문성 있는 인재', 변화에 민감하게 대응하며 창의적으로 문제를 해결하고 지속 성장을 이끄는 '혁신 마인드형 인재', 그리고 조직 성과를 위해 내부 및 외부 이해관계자와 활발히 소통하고 협업하는 '팀워크 중심 인재'를 지향합니다."
한국투자금융지주,https://www.koreaholdings.com/kr/recruitment/talent,고객 중심의 존중과 창의적 가치를 실현하며 인격과 혁신으로 함께 성장하는 인재,"고객기쁨, 사람존중, 가치창조","한국투자금융지주는 항상 고객 입장을 최우선에 두며 고객에게 기쁨을 주려는 인재를 지향합니다(고객기쁨), 구성원 개개인을 인격체로 존중하고 함께 성장할 수 있도록 배려하는 인재를 중시합니다(사람존중), 끊임없이 새롭고 혁신적인 가치 창출을 통해 금융의 미래를 리드하는 인재를 원합니다(가치창조)."
한국증권금융,https://www.ksfc.co.kr:4443/finance/recruit/talent.do,"열정적인 학습, 창조적 혁신, 신뢰 기반의 봉사를 실천하는 인재","열정적 학습인, 창조적 혁신가, 신뢰받는 봉사인","한국증권금융은 스스로 학습과 몰입을 통해 최고 수준의 전문성을 쌓는 ‘열정적인 학습인’, 풍부한 상상력과 창의력으로 지속적으로 자신과 조직을 혁신하는 ‘창조적 혁신가’, 그리고 공동체의 행복과 지속가능한 발전을 위해 깊은 배려와 봉사를 실천하는 ‘신뢰받는 봉사인’을 지향합니다."
두산,https://www.doosan.com/kr/career/people/,"사람을 존중하며 함께 성장하고, 높은 목표를 향해 열정을 다하며, 솔직한 소통과 현명한 실행으로 조직의 미래를 이끄는 인재","인격존중, 팀워크(Inhwa), 열정적 향상, 열린소통, 지속 실행","두산인은 개인을 도구가 아닌 인격체로 존중하며 배려하고 함께 성장하는 ‘인격존중형 인재’, 공동의 목표를 위해 따뜻한 팀워크를 실천하는 ‘합심의 인재(Inhwa)’, 스스로 눈높이를 높이며 끊임없이 발전을 추구하는 ‘열정적 학습인’, 실수를 숨기지 않고 솔직하게 소통하며 열린 의견교환을 하는 ‘열린소통 인재’, 어떠한 상황에서도 포기하지 않고 현명한 방식으로 실행해 내는 ‘지속 실행인재’를 지향합니다."
두산에너빌리티,https://www.doosanenerbility.com/kr/employment/talent_01.html,"사람을 존중하며 팀워크로 연대하고, 끊임없이 성장하며 열린 소통과 현명한 실행으로 높은 우선순위를 추진하는 인재","인격존중(Cultivating People), 팀워크(Inhwa), 열정적 성장(Limitless Aspiration), 열린소통(Open Communication), 근성 있는 실행(Tenacity & Drive), 집중 실행(Prioritization & Focus)","두산인으로서 우리는 성과의 주체인 '사람'을 도구로 보지 않고 진정성 있게 존중하며 육성하는 태도를 지닌 인재를 중요시합니다. 조직의 공동 목표를 위해 당당함과 따뜻함으로 하나 되는 ‘인화’의 팀워크를 실천하고, 높은 자부심을 품고 스스로 눈높이를 꾸준히 높이며 성장하는 열정을 갖추어야 합니다. 또한 상하좌우 열린 소통을 통해 진실된 의견 교환이 가능해야 하며, 문제 해결을 위해 포기하지 않고 현명하게 접근하는 ‘근성 있는 실행력’을 발휘해야 합니다. 그뿐만 아니라, 중요한 일을 빠르고 정확하게 찾아 우선 실행하여 조직의 목적을 달성하는 ‘집중 실행’ 자세도 필요합니다."
대한항공,https://koreanair.recruiter.co.kr/career/kemanship,회사의 비전과 미션을 이해하고 핵심가치를 실천하는 사람,"Professional&Responsible, Caring&Collaborative, Proactive&Challenging","대한항공은 자신이 맡은 업무에서 높은 전문성과 책임감을 갖춘 '전문적 책임형 인재', 동료와 고객을 배려하며 협력을 통해 성과를 창출하는 '협력적 배려형 인재', 그리고 변화를 두려워하지 않고 주도적으로 도전하는 '도전형 인재'를 지향합니다."
아시아나항공,https://flyasiana.com/C/KR/KO/contents/overview,"성실과 연구, 진지함과 적극성을 바탕으로 협력하며 성장하는 인재","성실·근면, 연구·학습, 진지·적극","아시아나항공은 뿌리 깊은 성실성과 근면함으로 조직과 본인의 발전을 꾸준히 추구하는 인재, 연구와 학습을 통해 스스로 개선과 변화를 이끄는 인재, 책임감을 가지고 진지하게 업무에 임하며 솔선수범하는 적극적인 인재를 지향합니다."
한국씨티은행,https://www.citibank.co.kr/HrdInrdCnts0106.act?MENU_TYPE=left&MENU_C_SQNO=M5_001940&STP_DS_0_MENU_C_SQNO=M5_001880,"고객을 최우선으로 생각하고, 하나된 팀으로 협력하며, 글로벌 인재로 함께 성장하는 전문 인재","Client First, One Citi, Our Success","한국씨티은행은 고객의 성공이 은행과 개인의 성공으로 이어진다는 믿음으로 고객을 최우선에 두는 인재(Client First), 전 세계적으로 문화와 비전을 공유하며 하나된 팀으로 협력하는 인재(One Citi), 그리고 글로벌 인재로서 함께 성장하고 성과를 창출하는 인재를 지향합니다."
DB손해보험,https://www.idbins.com/pc/bizxpress/cmy/adp/FWCOMV1726.shtm,"창의와 도전으로 자신과 기업의 미래를 개척하며, 전문성과 글로벌 역량, 자율적 책임으로 조직을 이끄는 인재","창의·도전, 전문성 학습, 글로벌화, 자율·신뢰","DB손해보험은 미래지향적 사고와 도전정신으로 나아가며, 폭넓은 학습과 진취적 태도로 전문성 개발에 몰입하는 인재를 지향합니다. 또한 다국어 및 정보화 역량을 갖춰 기업의 글로벌 확장을 주도하고, 솔선수범하며 책임 있는 자세로 조직 신뢰와 조화를 창출하는 인재를 원합니다."
한국수출입은행,https://recruit.koreaexim.go.kr/HPHFRR030M01,"전문성과 팀워크에 기반해 글로벌 미래에 도전하고, 국민과 고객 신뢰를 실현하는 인재","전문가 지향, 리더십·팀워크, 도전 정신, 신뢰와 가치 창출","한국수출입은행은 분야별 최고 수준의 전문성과 역량을 갖춘 '전문가’, 조직 내 리더십과 협력을 통해 팀워크를 강화하는 리더형 인재, 변화하는 글로벌 환경에 능동적으로 도전하는 '도전 정신' 인재, 그리고 국민과 고객으로부터 신뢰받으며 고객가치 창출에 기여하는 인재를 지향합니다."
한국토지주택공사(LH),https://www.lh.or.kr/menu.es?mid=a10602010000,"소통과 성과, 도전과 공익을 바탕으로 미래 가치를 창출하는 핵심 인재","소통·협력, 성과 중심, 도전 정신, 공정·공익","LH는 구성원 간 원활한 소통과 협업으로 조직문화를 이끄는 인재, 성과 중심의 실천으로 목표를 달성하는 인재, 변화와 미래에 맞서 주도적으로 도전하는 인재, 공정성과 공익을 실천하며 국민 신뢰를 실현하는 인재를 핵심인재로 지향합니다."
한국주택금융공사,https://hf.go.kr/ko/sub05/sub05_07_01.do,"창의적인 사고와 도전으로 혁신을 선도하고, 전문성을 키워 지속 성장하며, 공익에 기반한 화합을 실천하는 인재","창조인, 전문인, 화합인","한국주택금융공사는 창의적이고 능동적인 사고를 통해 혁신을 주도하는 ‘창조인’, 자기계발과 전문성 향상에 몰입하는 ‘전문인’, 정직하고 도덕적인 태도로 조직과 사회의 조화를 중시하는 ‘화합인’을 지향합니다."
한국철도공사,https://www.korailretail.com/content.do?menuNo=6010000,"신뢰와 변화, 역량을 바탕으로 고객 중심의 유통 혁신을 실천하는 인재","신뢰, 변화, 역량","코레일유통은 청렴하고 배려하며 약속을 지키는 ‘신뢰 받는 인재’를 지향합니다. 또한 현실에 안주하지 않고 도전과 혁신으로 변화를 이끄는 ‘변화를 선도하는 인재’, 창의적 사고와 전문성을 갖추고 비전 실현을 위한 추진력과 판단력을 갖춘 ‘역량 갖춘 인재’를 중요하게 생각합니다."
한국지엠,https://www.gm-korea.co.kr/ko/home/company/about-us.html,"신뢰와 투명성 위에, 포용적 혁신과 고객 중심 경험을 함께 이끌어가는 인재","신뢰와 투명성, 고객 중심, 포용과 다양성, 책임 있는 혁신","한국GM은 모든 접점에 신뢰와 투명성을 기반으로 세계 최고 수준의 고객 경험을 제공하는 인재를 지향합니다. 또한 포용과 다양성을 존중하는 문화를 통해 협업을 장려하고, 미래 자동차 기술(전동화·자율주행)에 대한 책임감 있는 혁신을 실행하는 인재를 원합니다."
한국수력원자력(KHNP),https://www.khnp.co.kr/main/contents.do?key=2199,"기본에 충실하고 배려하며, 전문성을 통해 글로벌 미래를 선도하는 인재","기본에 충실한 인재, 배려하는 상생 인재, 글로벌 전문 인재","KHNP는 윤리·주인의식·안전의식을 갖추고 기본과 원칙을 지키는 '기본에 충실한 인재', 소통·협력·사회적 가치를 중시하며 상호 존중하는 '배려하는 상생 인재', 열정과 전문 역량으로 세계 최고 수준을 지향하는 '글로벌 전문 인재'를 지향합니다."
교보생명,https://career.kyobo.co.kr/rem/apply/subhtml/system/right_people.jsp,"정직성과 도전정신, 고객 중심의 책임감, 협업과 학습으로 전문성을 갖춘 인재","Ethic, execution, Customer Focus, Engagement, Leading-edge expertise","교보생명은 기본에 충실한 정직하고 성실한 태도의 인재(Ethic), 변화와 혁신을 두려워하지 않고 적극적으로 도전하는 인재(eXecution), 고객을 우선하며 책임감 있는 행동을 실천하는 인재(Customer Focus), 조직 내외에서 적극적으로 소통하고 협력하는 참여형 인재(Engagement), 지속적 학습과 성장으로 국제 수준의 전문성을 갖추는 인재(Leading-edge expertise)를 지향합니다."
하림지주,https://www.harim.com/main/?menu=115,"정직과 성실로 새로운 것을 탐구하고, 존중과 원칙으로 조직을 올바르게 이끌며, 열정과 도전으로 성장하고, 실행력으로 최고를 지향하는 인재","정직·성실, 존중·원칙, 열정·도전, 실행력","하림은 정직하고 성실한 태도로 새로운 가치를 탐구하는 인재, 타인을 존중하고 원칙을 중시하는 인재, 열정적인 도전 정신으로 성장하는 인재, 실행력을 바탕으로 최고의 성과를 추구하는 인재를 지향합니다."
다우데이타,https://daoudata.career.greetinghr.com/ko/culture,"신뢰를 기반으로 소통하고, 전문성으로 도전하며, 유연·용감·매력·확실·당당·전문으로 일하는 인재","신뢰적 소통, 전문적 도전, 유연성, 용기, 매력, 확실함, 자신감, 전문성","다우데이타는 신뢰로 소통하며 전문성으로 도전하는 인재, 기존 사고나 계층에 얽매이지 않고 자신의 의견을 자신 있게 표현하는 유연형 인재, 도전에 흔들리지 않고 실패에도 굴하지 않는 용감한 인재, 동료와 고객이 함께하고 싶어 하는 매력적인 인재, 올바른 일에는 확실하게 책임지고 마무리하는 확실한 인재, 비윤리적 상황을 결코 용납하지 않는 당당한 인재, 그리고 맡은 업무에서 최고 수준의 전문성을 자부하는 전문 인재를 지향합니다."
고려아연,https://careers.koreazinc.co.kr/hrsystem/talent,"뜨거운 몰입과 혁신적 사고, 유연한 협업으로 새로운 가치를 창출하는 인재","Commitment, Innovation, Flexibility","고려아연은 작은 일에도 열정을 다해 몰입하고 실패에도 굴하지 않는 재도전 정신의 ‘Commitment’ 인재, 아이디어를 확장하고 구체화하여 실행으로 옮기는 ‘Innovation’ 인재, 다양성을 수용하며 넓은 사고와 민첩한 행동으로 협업을 이끄는 ‘Flexibility’ 인재를 지향합니다."
E1,https://www.e1.co.kr/ko/recruit/e1WorkWay,"끊임없이 도전하고 실행하며 전문성을 갖추고, 함께 성장하는 인재","Go Beyond (도전 주도), Go Through (혁신 실천), Go Pro (전문성 공유와 책임), Go Together (소통 협업)","E1은 새로운 기회와 더 나은 해결책을 주도적으로 발견하며(Go Beyond), 원칙을 지키며 작고 빠른 실행으로 지속적으로 개선하는 인재(Go Through), 전문성을 동료와 공유하고 자신의 일에 스스로 자부심을 갖는 인재(Go Pro), 말하기 전에 생각하고 동료를 존중하며 함께 나아가는 인재(Go Together)를 지향합니다."
한국도로공사,https://exservice.co.kr/introduce/vision.php,"청렴과 공정, 인권과 창의를 존중하며 전문성으로 사회적 책임을 실천하는 인재","청렴·공정, 인권 존중, 전문성, 사회적 책임","한국도로공사서비스는 투명하고 공정한 경영을 바탕으로 신뢰를 쌓는 ‘청렴 실천형 인재’, 직원 개개인의 인격과 창의를 존중하며 건강한 조직문화를 이루는 ‘인권 존중형 인재’, 업무 전문성을 키워 효율을 높이는 ‘전문성 강화형 인재’, 그리고 사회적 가치 실현과 공공성을 중시하는 ‘책임 있는 공공 인재’를 지향합니다."
대우건설,https://recruit.daewooenc.com/DAEWOOENC.html,투명하고 공정한 채용과 균등한 성장 기회를 통해 역량을 발휘하는 인재,"공정 채용, 평등 성장 기회, 투명 인재경영","대우건설은 투명하고 공정한 절차로 우수 인재를 선발하며, 누구에게나 성장의 기회를 공평하게 제공하는 인재경영 문화를 지향합니다."
